Day,Body,PosX,PosY,PosZ,VelX,VelY,VelZ,AccX,AccY,AccZ
0.25,Sun,131.312,0,0,0.00607928,0,0,2.81448e-07,0,0
0.25,Mercury,5.78815e+10,1.03399e+09,0,-855.327,47870,0,-0.0395985,0,0
0.25,Venus,1.08195e+11,7.56432e+08,0,-244.917,35020,0,-0.0113388,0,0
0.25,Earth,1.49597e+11,6.43248e+08,0,-128.121,29780,0,-0.00593152,0,0
0.25,Mars,2.27899e+11,5.19912e+08,0,-55.2008,24070,0,-0.00255559,0,0
0.25,Jupiter,7.785e+11,2.82312e+08,0,-4.72935,13070,0,-0.000218951,0,0
0.25,Saturn,1.433e+12,2.09088e+08,0,-1.4027,9680,0,-6.49396e-05,0,0
0.25,Uranus,2.877e+12,1.4688e+08,0,-0.34739,6800,0,-1.60829e-05,0,0
0.25,Neptune,4.503e+12,1.17288e+08,0,-0.141746,5430,0,-6.5623e-06,0,0
0.5,Sun,393.938,0.218277,0,0.0121586,1.01054e-05,0,2.8145e-07,4.67843e-10,0
0.5,Mercury,5.78446e+10,2.06765e+09,0,-1710.79,47854.7,0,-0.0396048,-0.000707507,0
0.5,Venus,1.08184e+11,1.51283e+09,0,-489.84,35018.3,0,-0.011339,-7.92802e-05,0
0.5,Earth,1.49592e+11,1.28648e+09,0,-256.243,29779.4,0,-0.00593157,-2.55053e-05,0
0.5,Mars,2.27896e+11,1.03982e+09,0,-110.402,24069.9,0,-0.0025556,-5.83101e-06,0
0.5,Jupiter,7.785e+11,5.64624e+08,0,-9.4587,13070,0,-0.000218951,-7.94406e-08,0
0.5,Saturn,1.433e+12,4.18176e+08,0,-2.80539,9680,0,-6.49396e-05,-9.39948e-09,0
0.5,Uranus,2.877e+12,2.9376e+08,0,-0.69478,6800,0,-1.60829e-05,-8.16197e-10,0
0.5,Neptune,4.503e+12,2.34576e+08,0,-0.283491,5430,0,-6.5623e-06,-1.69955e-10,0
0.75,Sun,787.876,0.873153,0,0.0182379,3.03183e-05,0,2.81448e-07,9.35783e-10,0
0.75,Mercury,5.77891e+10,3.10066e+09,0,-2566.12,47824.1,0,-0.0395985,-0.00141547,0
0.75,Venus,1.08168e+11,2.26915e+09,0,-734.758,35014.9,0,-0.0113388,-0.000158568,0
0.75,Earth,1.49583e+11,1.9297e+09,0,-384.363,29778.3,0,-0.00593152,-5.10116e-05,0
0.75,Mars,2.27893e+11,1.55973e+09,0,-165.602,24069.6,0,-0.00255559,-1.16621e-05,0
0.75,Jupiter,7.78499e+11,8.46936e+08,0,-14.1881,13070,0,-0.000218951,-1.58881e-07,0
